question,text
Tại sao triết học được coi là sự truy tìm bản chất của đối tượng trong văn minh Trung Quốc?,"<answer> triết học chính là trí tuệ, là sự hiểu biết sâu sắc của con người <context> Triết học ra đời ở cả phương Đông và phương Tây gần như cùng một thời gian (khoảng từ thế kỷ VIII đến thế kỷ VI trước Công nguyên) tại một số trung tâm văn minh cổ đại của nhân loại như Trung Quốc, ấn Độ, Hy Lạp. ở Trung Quốc, thuật ngữ triết học có gốc ngôn ngữ là chữ triết; người Trung Quốc hiểu triết học không phải là sự miêu tả mà là sự truy tìm bản chất của đối tượng, triết học chính là trí tuệ, là sự hiểu biết sâu sắc của con người"
Thuật ngữ dar sana là gì?,"<answer> chiêm ngưỡng <context> ở ấn Độ, thuật ngữ dar sana (triết học) có nghĩa là chiêm ngưỡng, nhưng mang hàm ý là tri thức dựa trên lý trí, là con đường suy ngẫm để dẫn dắt con người đến với lẽ phải. Ở phương Tây, thuật ngữ triết học xuất hiện ở Hy Lạp. Nếu chuyển từ tiếng Hy Lạp cổ sang tiếng Latinh thì triết học là Philosophia, nghĩa là yêu mến sự thông thái. Với người Hy Lạp, philosophia vừa mang tính định hướng, vừa nhấn mạnh đến khát vọng tìm kiếm chân lý của con người. Như vậy, cho dù ở phương Đông hay phương Tây, ngay từ đầu, triết học đã là hoạt động tinh thần biểu hiện khả năng nhận thức, đánh giá của con người, nó tồn tại với tư cách là một hình thái ý thức xã hội. "
Triết học được coi là gì ngay từ khi mới ra đời?,"<answer> hình thái cao nhất của tri thức <context> Trong quá trình phát triển, đối tượng của triết học thay đổi theo từng giai đoạn lịch sử. Ngay từ khi mới ra đời, triết học được xem là hình thái cao nhất của tri thức, bao hàm trong nó tri thức về tất cả các lĩnh vực không có đối tượng riêng. Đây là nguyên nhân sâu xa làm nảy sinh quan niệm cho rằng, triết học là khoa học của mọi khoa học, đặc biệt là ở triết học tự nhiên của Hy Lạp cổ đại. Thời kỳ này, triết học đã đạt được nhiều thành tựu rực rỡ mà ảnh hưởng của nó còn in đậm đối với sự phát triển của tư tưởng triết học ở Tây Âu. "
Triết học duy vật chủ nghĩa dựa trên điều gì để phát triển nhanh chóng?,"<answer> trên cơ sở tri thức của khoa học thực nghiệm <context> Sự phát triển mạnh mẽ của khoa học vào thế kỷ XV, XVI đã tạo một cơ sở tri thức vững chắc cho sự phục hưng triết học. Để đáp ứng yêu cầu của thực tiễn, đặc biệt yêu cầu của sản xuất công nghiệp, các bộ môn khoa học chuyên ngành nhất là các khoa học thực nghiệm đã ra đời với tính cách là những khoa học độc lập. Sự phát triển xã hội được thúc đẩy bởi sự hình thành và củng cố quan hệ sản xuất tư bản chủ nghĩa, bởi những phát hiện lớn về địa lý và thiên văn cùng những thành tựu khác của cả khoa học tự nhiên và khoa học nhân văn đã mở ra một thời kỳ mới cho sự phát triển triết học. Triết học duy vật chủ nghĩa dựa trên cơ sở tri thức của khoa học thực nghiệm đã phát triển nhanh chóng trong cuộc đấu tranh với chủ nghĩa duy tâm và tôn giáo và đã đạt tới đỉnh cao mới trong chủ nghĩa duy vật thế kỷ XVII - XVIII ở Anh, Pháp, Hà Lan, với những đại biểu tiêu biểu như Ph.Bêcơn, T.Hốpxơ (Anh), Điđrô, Henvêtiuýt (Pháp), Xpinôda (Hà Lan)... V.I.Lênin đặc biệt đánh giá cao công lao của các nhà duy vật "
Triết học duy tâm nào cũng được phát triển trong các học thuyết triết học?,"<answer> triết học Hêghen <context> Pháp thời kỳ này đối với sự phát triển chủ nghĩa duy vật trong lịch sử triết học trước Mác. Trong suốt cả lịch sử hiện đại của châu Âu và nhất là vào cuối thế kỷ XVIII, ở nước Pháp, nơi đã diễn ra một cuộc quyết chiến chống tất cả những rác rưởi của thời trung cổ, chống chế độ phong kiến trong các thiết chế và tư tưởng, chỉ có chủ nghĩa duy vật là triết học duy nhất triệt để, trung thành với tất cả mọi học thuyết của khoa học tự nhiên, thù địch với mê tín, với thói đạo đức giả, v.v . Mặt khác, tư duy triết học cũng được phát triển trong các học thuyết triết học duy tâm mà đỉnh cao là triết học Hêghen, đại biểu xuất sắc của triết học cổ điển Đức."
Triết học khác biệt với mọi khoa học cụ thể như thế nào?,"<answer> Nó xem xét thế giới như một chỉnh thể <context> Triết học nghiên cứu thế giới bằng phương pháp của riêng mình khác với mọi khoa học cụ thể. Nó xem xét thế giới như một chỉnh thể và tìm cách đưa ra một hệ thống các quan niệm về chỉnh thể đó. Điều đó chỉ có thể thực hiện được bằng cách tổng kết toàn bộ lịch sử của khoa học và lịch sử của bản thân tư tưởng triết học. Triết học là sự diễn tả thế giới quan bằng lý luận. Chính vì tính đặc thù như vậy của đối tượng triết học mà vấn đề tư cách khoa học của triết học và đối tượng của nó đã gây ra những cuộc tranh luận kéo dài cho đến hiện nay. Nhiều học thuyết triết học hiện đại ở phương Tây muốn từ bỏ quan niệm truyền thống về triết học, xác định đối tượng nghiên cứu riêng cho mình như mô tả những hiện tượng tinh thần, phân tích ngữ nghĩa, chú giải văn bản... "
Vấn đề cơ bản của triết học được định nghĩa như thế nào?,"<answer> quan hệ giữa tư duy và tồn tại. <context> Triết học cũng như những khoa học khác phải giải quyết rất nhiều vấn đề có liên quan với nhau, trong đó vấn đề cực kỳ quan trọng là nền tảng và là điểm xuất phát để giải quyết những vấn đề còn lại được gọi là vấn đề cơ bản của triết học. Theo Ăngghen: Vấn đề cơ bản lớn của mọi triết học, đặc biệt là của triết học hiện đại, là vấn đề quan hệ giữa tư duy với tồn tại. Giải quyết vấn đề cơ bản của triết học không chỉ xác định được nền tảng và điểm xuất phát để giải quyết các vấn đề khác của triết học mà nó còn là tiêu chuẩn để xác định lập trường, thế giới quan của các triết gia và học thuyết của họ. "
Thế giới quan là gì theo định nghĩa trong đoạn văn?,"<answer> toàn bộ những quan niệm của con người về thế giới, về bản thân con người, về cuộc sống và vị trí của con người trong thế giới đó. <context> Thế giới quan là toàn bộ những quan niệm của con người về thế giới, về bản thân con người, về cuộc sống và vị trí của con người trong thế giới đó. Trong thế giới quan có sự hoà nhập giữa tri thức và niềm tin. Tri thức là cơ sở trực tiếp cho sự hình thành thế giới quan, song nó chỉ gia nhập thế giới quan khi nó đã trở thành niềm tin định hướng cho hoạt động của con người. Có nhiều cách tiếp cận để nghiên cứu về thế giới quan. Nếu xét theo quá trình phát triển thì có thể chia thế giới quan thành ba loại hình cơ bản: Thế giới quan huyền thoại, thế giới quan tôn giáo và thế giới quan triết học. "
Thế giới quan huyền thoại là gì?,"<answer> phương thức cảm nhận thế giới của người nguyên thủy. <context> Thế giới quan huyền thoại là phương thức cảm nhận thế giới của người nguyên thủy. ở thời kỳ này, các yếu tố tri thức và cảm xúc, lý trí và tín ngưỡng, hiện thực và tưởng tượng, cái thật và cái ảo, cái thần và cái người, v.v. của con người hoà quyện vào nhau thể hiện quan niệm về thế giới. "
Thế giới quan tôn giáo tập trung vào yếu tố nào chủ yếu?,"<answer> niềm tin tôn giáo <context> Trong thế giới quan tôn giáo, niềm tin tôn giáo đóng vai trò chủ yếu; tín ngưỡng cao hơn lý trí, cái ảo lấn át cái thực, cái thần vượt trội cái người."
